unit,sex,age,isced11,geo,time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 
PC,T,Y25-64,ED5-8,DE	5.0 	5.4 	5.5 b	4.8 	3.8 	3.3 	3.4 	3.1 	2.4 b	2.3 	2.4 	2.5 b
PC,T,Y25-64,ED5-8,DK	4.8 b	3.9 	3.7 b	3.2 	3.0 b	2.2 	3.7 	4.6 	5.0 	4.7 	4.6 	4.5 b
PC,T,Y25-64,ED5-8,EA17	5.2 	5.4 	5.2 b	4.7 	4.1 	4.0 	5.0 	5.5 	5.6 	6.4 	6.9 	6.8 b
PC,T,Y25-64,ED5-8,EA18	5.2 	5.4 	5.2 b	4.7 	4.1 	4.0 	5.0 	5.5 	5.6 	6.4 	6.9 	6.8 b
PC,T,Y25-64,ED5-8,EA19	5.2 	5.4 	5.2 b	4.6 	4.1 	3.9 	5.0 	5.5 	5.6 	6.4 	6.9 	6.8 b
PC,T,Y25-64,ED5-8,EE	5.5 	5.7 	4.0 b	3.1 	2.4 	2.8 	6.2 	9.2 	7.9 	5.9 	5.4 	4.7 b
PC,T,Y25-64,ED5-8,EL	6.1 	6.9 b	7.0 b	6.4 	6.1 	5.7 	6.7 b	8.8 	13.0 	17.1 	19.4 	19.1 b
PC,T,Y25-64,ED5-8,ES	7.3 	7.3 	6.0 b	5.4 	4.8 	5.8 	8.9 	10.4 	11.5 	13.9 	14.9 	13.8 b
PC,T,Y25-64,ED5-8,EU27	4.6 	4.7 	4.6 b	4.1 	3.6 	3.5 	4.5 	4.9 	5.0 	5.6 	5.8 	5.6 b
PC,T,Y25-64,ED5-8,EU28	4.6 	4.7 	4.6 b	4.1 	3.6 	3.5 	4.5 	4.9 	5.1 	5.6 	5.9 	5.6 b
PC,T,Y25-64,ED5-8,FI	4.1 	4.7 	4.4 b	3.7 	3.6 	3.3 b	4.0 	4.4 	4.0 	3.9 	4.5 	5.1 b
PC,T,Y25-64,ED5-8,FR	5.3 b	6.1 	5.4 b	5.1 	4.9 	4.0 	5.0 	4.9 	4.9 	5.1 	5.3 b	5.7 b
PC,T,Y25-64,ED5-8,HR	6.6 bu	7.0 	5.6 bu	5.1 bu	5.6 	4.3 	5.6 	7.9 b	8.3 	9.9 	10.1 	9.0 b
PC,T,Y25-64,ED5-8,HU	1.2 	1.9 	2.3 b	2.2 	2.4 	2.2 	3.4 	4.0 	3.8 	4.0 	3.5 	2.7 b
PC,T,Y25-64,ED5-8,IE	2.5 	2.1 	2.0 b	2.4 	2.4 b	3.2 	6.3 b	7.0 	7.2 	7.0 	6.7 	6.1 b
